Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
136,Eswatini,70107,0,1395,0,68682.0,0.0,30.0,11,59326,1180.0,1010640,855231,1181716,Africa
137,Barbados,65096,0,386,0,61794.0,0.0,2916.0,0,226023,1340.0,633709,2200333,288006,North America
138,Fiji,64524,2,862,0,62677.0,5.0,985.0,0,71054,949.0,506642,557914,908100,Oceania
139,Madagascar,64121,0,1391,0,59370.0,0.0,3360.0,14,2214,48.0,418849,14459,28967507,Africa
140,Guyana,63380,0,1228,0,62054.0,0.0,98.0,1,79888,1548.0,585899,738501,793362,South America
141,Sudan,62079,0,4929,0,,,,0,1359,108.0,562941,12322,45685261,Africa
142,New Caledonia,60457,0,312,0,60064.0,0.0,81.0,9,208169,1074.0,98964,340759,290422,Oceania
143,Mauritania,58683,0,982,0,57693.0,0.0,8.0,0,12053,202.0,796599,163613,4868804,Africa
144,Belize,57385,0,676,0,56518.0,0.0,191.0,6,139767,1646.0,532846,1297801,410576,North America
145,Cabo Verde,55993,0,401,0,55526.0,0.0,66.0,23,98784,707.0,400982,707423,566821,Africa
146,Syria,55782,0,3150,0,52036.0,0.0,596.0,0,3054,172.0,146269,8009,18263019,Asia
147,Bhutan,55606,1024,19,0,49037.0,1867.0,6550.0,9,70669,24.0,2264711,2878195,786851,Asia
148,Gabon,47594,0,303,0,47280.0,0.0,11.0,0,20515,131.0,1591228,685900,2319914,Africa
149,Papua New Guinea,43663,0,649,0,42954.0,0.0,60.0,7,4720,70.0,249149,26932,9251011,Oceania
150,Seychelles,41660,0,164,0,40675.0,0.0,821.0,0,418950,1649.0,0,0,99439,Africa
151,Curaçao,41652,0,271,0,40800.0,0.0,581.0,3,251983,1639.0,494095,2989135,165297,North America
152,Andorra,40709,0,153,0,39999.0,0.0,557.0,14,525366,1975.0,249838,3224257,77487,Europe
153,Taiwan,40186,2481,856,0,22537.0,237.0,16793.0,0,1682,36.0,13964112,584416,23894120,Asia
