,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
198,Niger,9031,0,310,0,8628,0,93,1,349,12,254538,9841,25863968
199,Vanuatu,8807,0,14,0,8561,0,232,0,27460,44,24976,77874,320724
200,Guinea-Bissau,8259,0,171,0,8033,0,55,6,4017,83,138217,67226,2056001
201,Comoros,8100,0,160,0,7933,0,7,0,8954,177,0,0,904649
202,Antigua and Barbuda,8062,0,138,0,7711,0,213,1,81055,1387,18901,190030,99463
203,Sierra Leone,7682,0,125,0,N/A,N/A,N/A,0,927,15,259958,31381,8283913
204,Liberia,7455,0,294,0,5747,0,1414,2,1411,56,139824,26469,5282581
205,Chad,7417,0,193,0,4874,0,2350,0,428,11,191341,11049,17317483
206,St. Vincent Grenadines,6857,0,106,0,6641,0,110,0,61439,950,99496,891485,111607
207,British Virgin Islands,6690,0,62,0,N/A,N/A,N/A,1,218542,2025,103895,3393930,30612
208,Turks and Caicos,6123,0,36,0,6044,0,43,4,154201,907,521408,13131057,39708
209,Sao Tome and Principe,5982,0,73,0,5900,0,9,0,26369,322,29036,127991,226860
210,Saint Kitts and Nevis,5697,0,43,0,5581,0,73,0,105674,798,70707,1311551,53911
211,Cook Islands,5613,0,1,0,5533,0,79,0,319029,57,18503,1051665,17594
212,Palau,5020,0,6,0,4298,0,716,1,274963,329,51089,2798324,18257
213,St. Barth,4630,0,6,0,N/A,N/A,N/A,0,466076,604,78646,7916851,9934
214,Anguilla,3203,0,9,0,3142,0,52,4,209950,590,51382,3367986,15256
215,Kiribati,3098,0,13,0,2602,0,483,3,25204,106,0,0,122917
216,Saint Pierre Miquelon,2748,0,1,0,2449,0,298,1,478746,174,23787,4144077,5740
217,Falkland Islands,1687,0,0,0,N/A,N/A,N/A,0,459423,0,8632,2350763,3672
218,Montserrat,958,0,4,0,856,0,98,0,191677,800,12706,2542217,4998
219,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0
220,Wallis and Futuna,454,0,7,0,438,0,9,0,41778,644,20508,1887181,10867
221,Macao,83,1,0,0,82,0,1,0,125,0,5584,8383,666085
222,Micronesia,30,0,0,0,30,0,0,0,256,0,21109,179950,117305
223,Vatican City,29,0,0,0,29,0,0,0,36025,0,0,0,805
224,Marshall Islands,17,0,0,0,14,0,3,0,284,0,0,0,59946
225,Western Sahara,10,0,1,0,9,0,0,0,16,2,0,0,625124
226,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0
227,Niue,9,0,0,0,9,0,0,0,5464,0,0,0,1647
228,Nauru,8,0,0,0,8,0,0,0,730,0,0,0,10953
229,Tuvalu,3,0,0,0,0,0,3,0,249,0,0,0,12067
230,Saint Helena,2,0,0,0,2,0,0,0,327,0,0,0,6111
